item_id,expert_ai_verdict,expert_ai_confidence,expert_ai_notes,reviewer,evidence_layer,blind_at_decision
X000,indeterminado,baja,El título o snippet no permite identificar con seguridad el proyecto/procedimiento en uno o ambos documentos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X001,mismo_proceso,alta,Coinciden proyecto/instalación o procedimiento identificable y existe continuidad entre los hitos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X002,no_relacionado,alta,"Los documentos refieren a proyectos, instalaciones, territorios o controversias diferentes.",GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X003,relacionado,media,"Comparten territorio, política o campo de conflicto, pero no hay identidad suficiente del proceso concreto.",GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X004,mismo_proceso,alta,Coinciden proyecto/instalación o procedimiento identificable y existe continuidad entre los hitos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X005,mismo_proceso,alta,Coinciden proyecto/instalación o procedimiento identificable y existe continuidad entre los hitos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X006,mismo_proceso,alta,Coinciden proyecto/instalación o procedimiento identificable y existe continuidad entre los hitos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X007,relacionado,media,"Comparten territorio, política o campo de conflicto, pero no hay identidad suficiente del proceso concreto.",GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X008,mismo_proceso,alta,Coinciden proyecto/instalación o procedimiento identificable y existe continuidad entre los hitos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X009,mismo_proceso,alta,Coinciden proyecto/instalación o procedimiento identificable y existe continuidad entre los hitos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X010,indeterminado,baja,"El título identifica un conflicto potencial, pero sin comparación ni búsqueda exhaustiva no permite decidir aislamiento correcto.",GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X011,relacionado,media,"Comparten territorio, política o campo de conflicto, pero no hay identidad suficiente del proceso concreto.",GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X012,indeterminado,baja,El título o snippet no permite identificar con seguridad el proyecto/procedimiento en uno o ambos documentos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X013,mismo_proceso,alta,Coinciden proyecto/instalación o procedimiento identificable y existe continuidad entre los hitos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X014,mismo_proceso,alta,Coinciden proyecto/instalación o procedimiento identificable y existe continuidad entre los hitos.,GPT-5.6 Thinking,independent_expert_ai_adjudication,True
X015,no_relacionado,alta,"Los documentos refieren a proyectos, instalaciones, territorios o controversias diferentes.",GPT-5.6 Thinking,independent_expert_ai_adjudication,True
