review_item_id,sample_stratum,source_id,target_id,system_relation,trajectory_id_a,trajectory_id_b,score,v1_gpt,expert_ai_confidence,v2_claude,relacion_fina5,confianza,justificacion,evidencia_textual_decisiva,problema_granularidad,riesgo_fragmentacion,riesgo_sobreagregacion,juicio_abstencion
PAIR-0001,boundary,1595,1893,different_trajectory,T0009,T0006,0.6125370346429896,relacionado,media,mismo_proceso,mismo_macroproceso,media,Ambos textos giran en torno al acuerdo Codelco-SQM sobre el Salar de Atacama: A narra el bloqueo comunitario motivado por ese acuerdo y B la disputa parlamentaria sobre su anulacion. Son nodos distintos (conflicto en faena vs. tramitacion politico-institucional del contrato) dentro de un mismo macroproceso identificable.,A: «alegando que fueron marginados en un acuerdo firmado recientemente entre la minera y la cuprifera estatal Codelco»,True,False,False,no_aplica
PAIR-0002,abstention,11302,18993,abstention_boundary,,,0.9999999016523362,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"A y B son el mismo despacho, con identico titular, fecha, fuente y cuerpo textual. Cubren la misma jornada de movilizacion nacional contra el proyecto HidroAysen.",A y B: «Una multitudinaria protesta contra el proyecto HidroAysen se desarrollo durante la tarde de este viernes»,False,False,False,no_aplica
PAIR-0003,boundary,5156,2953,different_trajectory,T0092,T0115,0.619938644507772,relacionado,alta,relacionado,mismo_macroproceso,alta,"A trata el anuncio de AES Gener de cerrar dos de sus cuatro centrales a carbon; B trata el anuncio de cierre de la Fundicion Codelco Ventanas. Son instalaciones y titulares distintos dentro del mismo complejo industrial de Quintero-Puchuncavi, con Greenpeace como actor comun.",A: «el cierre de dos de las cuatro centrales a carbon»; B: «el cierre de la Fundicion Codelco Ventanas»,True,False,True,no_aplica
PAIR-0004,internal,3890,3882,same_trajectory,T0013,T0013,0.8578767123287672,mismo_proceso,alta,indeterminado,evidencia_insuficiente,baja,"Ambos textos de revision estan completamente vacios; solo quedan los titulares. Estos sugieren continuidad procedimental (impugnacion de la recomendacion del SEA y luego acciones judiciales tras la aprobacion, en La Union), pero el documento A no identifica el proyecto por nombre y no hay cuerpo textual que permita verificar que se trata del mismo expediente.",,False,False,False,abstenerse_seria_correcto
PAIR-0005,boundary,2989,3226,different_trajectory,T0002,T0115,0.6474206109165135,relacionado,media,mismo_proceso,mismo_macroproceso,media,"Ambos documentos pertenecen a la controversia por contaminacion de la bahia Quintero-Puchuncavi y al mismo ciclo de intoxicaciones de 2023, pero sus objetos especificos difieren: A el episodio de intoxicaciones por hidrocarburos y benceno, B el balance del cierre de la fundicion de Codelco.",B: «Los habitantes del polo industrial con masivas intoxicaciones exigen saber que contaminantes estan enfermando a la poblacion»,True,False,False,no_aplica
PAIR-0006,abstention,6865,6943,abstention_boundary,,,0.7488892094759232,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos informan el ingreso al SEIA del mismo proyecto de Codelco Andina, con identico nombre de expediente, misma fecha y mismos parametros tecnicos.",A y B: «Sistema de impulsion de agua para uso industrial desde Deposito de Relaves Ovejeria a Planta Concentradora de Division Andina»,False,False,False,no_aplica
PAIR-0007,abstention,7607,7604,abstention_boundary,,,0.7037034246782365,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Mismo conflicto: comunidades agricolas de Tunga Norte y Tunga Sur en Illapel contra el trazado de la linea Kimal-Lo Aguirre de Conexion Energia, con dos dias de diferencia y mismos actores citados.",A y B: «comunidades agricolas de Tunga Norte y Tunga Sur» ante la linea «Kimal-Lo Aguirre»,False,False,False,no_aplica
PAIR-0008,internal,6980,7018,same_trajectory,T0017,T0017,0.9467821657002627,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,Ambos cubren el mismo dia la admision a tramite de la misma demanda por dano ambiental de la Comunidad de Peine contra Minera Escondida por el acuifero Monturaqui-Negrillar-Tilopozo.,A y B: «accion presentada por la Comunidad Indigena Atacamena de Peine ... dano provocado en el sector de Tilopozo»,False,False,False,no_aplica
PAIR-0009,boundary,1593,1918,different_trajectory,T0222,T0006,0.6151002966704435,mismo_proceso,alta,relacionado,mismo_macroproceso,media,"Comparten actores (CORFO, SQM, comunidades atacamenas) y el mismo estandar juridico (Convenio 169) en el Salar de Atacama, pero corresponden a acciones judiciales distintas: A a la consulta por la asignacion de los aportes de SQM, B a un recurso de proteccion contra los contratos de enero de 2024 que triplicaron las cuotas.","B: «el 17 de enero de este ano SQM y Corfo ... suscribieran un acuerdo a partir de dos contratos, mediante los cuales se triplicaron las cuotas»",True,False,True,no_aplica
PAIR-0010,abstention,3065,6724,abstention_boundary,,T0115,0.7184863669182464,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,media,"A es el documento del plan de 40 acciones del MMA y B cubre el acto de cierre de la Fundicion Ventanas donde se anuncio ese mismo plan. El objeto comun es el paquete gubernamental de mayo de 2023 para Concon, Quintero y Puchuncavi, nombrado de forma distinta en cada titular.","B: «Junto a este cierre, el Gobierno anuncio un plan de 40 acciones para Concon, Quintero y Puchuncavi»",True,True,False,no_aplica
