review_item_id,sample_stratum,system_relation,trajectory_id_a,trajectory_id_b,v1_gpt,v2_claude,relacion_fina5,confianza,problema_granularidad,riesgo_fragmentacion,riesgo_sobreagregacion,clasificacion
PAIR-0001,boundary,different_trajectory,T0009,T0006,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0004,internal,same_trajectory,T0013,T0013,mismo_proceso,indeterminado,evidencia_insuficiente,baja,False,False,False,evidencia_realmente_insuficiente
PAIR-0005,boundary,different_trajectory,T0002,T0115,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0009,boundary,different_trajectory,T0222,T0006,mismo_proceso,relacionado,mismo_macroproceso,media,True,False,True,diferencia_macroproceso_vs_proceso_especifico
PAIR-0017,boundary,different_trajectory,T0001,T0115,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0019,internal,same_trajectory,T0745,T0745,relacionado,indeterminado,evidencia_insuficiente,baja,False,False,False,evidencia_realmente_insuficiente
PAIR-0026,boundary,different_trajectory,T0115,T0002,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0029,boundary,different_trajectory,T0002,T0115,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0032,boundary,different_trajectory,T0115,T0002,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,True,diferencia_macroproceso_vs_proceso_especifico
PAIR-0035,boundary,different_trajectory,T0115,T0002,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0037,abstention,abstention_boundary,,,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0043,boundary,different_trajectory,T0115,T0002,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0050,boundary,different_trajectory,T0001,T0115,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0051,abstention,abstention_boundary,,T0114,relacionado,mismo_proceso,mismo_macroproceso,baja,True,False,False,diferencia_macroproceso_vs_proceso_especifico
PAIR-0058,abstention,abstention_boundary,,T0006,relacionado,mismo_proceso,mismo_macroproceso,media,True,False,False,diferencia_macroproceso_vs_proceso_especifico
